timestamp,host,device_type,gpu_name,cpu_name,torch_version,os,kernel,python_version,ram_total_gb,ram_available_gb,disk_usage_pct,cpu_util,arch,dataset_root,batch_size,workers,epochs,params_m,flops_g_per_image,model_size_mb,arithmetic_intensity,total_time_s,peak_gpu_mem_mb,process_rss_gb,gpu_util,train_batches,train_batch_time_avg_s,train_data_time_avg_s,train_batch_time_std_s,train_epoch_time_s,train_throughput_img_s,train_achieved_gflops_s,val_batches,val_batch_time_avg_s,val_data_time_avg_s,val_batch_time_std_s,val_epoch_time_s,val_throughput_img_s,val_acc1,val_acc5,val_achieved_gflops_s,achieved_tflops_train,achieved_tflops_val
2025-11-12T23:46:57Z,Mac.lan,mps,N/A,arm,2.9.1,Darwin,25.0.0,3.12.6,18.0,3.488,25.8,30,resnet18,data/tiny-imagenet-200,128,4,1,11.6895,1.824,44.6714,0.0408,91.9095,N/A,0.183,N/A,50,0.762669,0.138177,N/A,242.3,413,306.124985,50,0.274755,N/A,N/A,56.6,178,1.656,6.188,849.744645,0.173,0.105
2025-11-13T22:45:15Z,cpu-bench,cpu,N/A,x86_64,2.9.1+cu128,Linux,6.1.0-40-cloud-amd64,3.11.2,15.627,3.825,44.7,2.4,resnet18,data/tiny-imagenet-200,128,4,1,11.6895,1.824,44.6714,0.0408,952.4808,N/A,1.739,N/A,50,14.415817,0.036467,N/A,720.894595,8.878,16.195544,50,4.628992,N/A,N/A,231.586186,27.635,1.594,7.656,50.436894,0.016196,0.050437
2025-11-15T03:28:01Z,gpu-bench,cuda,Tesla T4,x86_64,2.8.0+cu126,Linux,6.6.105+,3.12.12,12.671,9.112,34.7,5,resnet18,data/tiny-imagenet-200,128,4,1,11.6895,1.824,44.6731,0.0408,35.7901,3135.05,2.391,0,50,0.394486,0.044454,N/A,20.26971,315.742,591.838926,50,0.301112,N/A,N/A,15.520385,412.361,0.859,7.312,775.365502,0.591839,0.775366
