timestamp,host,device_type,gpu_name,cpu_name,torch_version,os,kernel,python_version,ram_total_gb,ram_available_gb,disk_usage_pct,cpu_util,arch,dataset_root,batch_size,workers,epochs,params_m,flops_g_per_image,model_size_mb,arithmetic_intensity,total_time_s,peak_gpu_mem_mb,process_rss_gb,gpu_util,train_batches,train_batch_time_avg_s,train_data_time_avg_s,train_batch_time_std_s,train_epoch_time_s,train_throughput_img_s,train_achieved_gflops_s,val_batches,val_batch_time_avg_s,val_data_time_avg_s,val_batch_time_std_s,val_epoch_time_s,val_throughput_img_s,val_acc1,val_acc5,val_achieved_gflops_s,achieved_tflops_train,achieved_tflops_val
2025-11-12T22:05:50Z,10-17-48-245.dynapool.wireless.nyu.edu,mps,N/A,arm,2.7.0,Darwin,25.0.0,3.12.6,18,2.388,24.6,0,resnet50,tiny-imagenet-200,128,8,1,25.557,4.1337,97.8021,0.0423,2301.5664,N/A,0.186,N/A,782,2.751681,0.048534,N/A,2192.098553,45.662,192.287383,79,0.878397,N/A,N/A,109.467895,92.374,2.46,10.55,602.362963,0.192287,0.602363
2025-11-13T23:37:42Z,cpu-bench,cpu,N/A,x86_64,2.9.1+cu128,Linux,6.1.0-40-cloud-amd64,3.11.2,15.627,10.118,45.2,0,resnet50,data/tiny-imagenet-200,128,4,1,25.557,4.1337,97.8021,0.0423,2442.8383,N/A,3.637,N/A,50,37.990471,0.03748,N/A,1899.619234,3.369,13.927535,50,10.861844,N/A,N/A,543.219078,11.782,0.688,2.828,48.713056,0.013928,0.048713
2025-11-15T03:30:21Z,gpu-bench,cuda,Tesla T4,x86_64,2.8.0+cu126,Linux,6.6.105+,3.12.12,12.671,9.034,34.8,0,resnet50,data/tiny-imagenet-200,128,4,1,25.557,4.1337,97.8064,0.0423,85.4933,11345.17,2.513,3,50,1.299187,0.109855,N/A,65.00917,98.448,407.265064,50,0.407893,N/A,N/A,20.484108,312.437,0,2,1297.188391,0.407265,1.297188
