timestamp,host,device_type,gpu_name,cpu_name,torch_version,os,kernel,python_version,ram_total_gb,ram_available_gb,disk_usage_pct,cpu_util,arch,dataset_root,batch_size,workers,epochs,params_m,flops_g_per_image,model_size_mb,arithmetic_intensity,total_time_s,peak_gpu_mem_mb,process_rss_gb,gpu_util,train_batches,train_batch_time_avg_s,train_data_time_avg_s,train_batch_time_std_s,train_epoch_time_s,train_throughput_img_s,train_achieved_gflops_s,val_batches,val_batch_time_avg_s,val_data_time_avg_s,val_batch_time_std_s,val_epoch_time_s,val_throughput_img_s,val_acc1,val_acc5,val_achieved_gflops_s,achieved_tflops_train,achieved_tflops_val
2025-11-12T06:53:11Z,Mac.lan,mps,N/A,arm,2.7.0,Darwin,25.0.0,3.12.6,18.0,4.671,35.5,14.0,resnet18,tiny-imagenet-200,128,8,1,11.6895,1.824,44.6714,0.0408,117.0647,N/A,0.199,N/A,10,2.407782,0.993973,N/A,64.140425,19.956,96.965575,10,1.288593,N/A,N/A,52.924277,24.185,0.0,0.0,181.183729,0.096966,0.181184
2025-11-12T06:59:26Z,Mac.lan,mps,N/A,arm,2.7.0,Darwin,25.0.0,3.12.6,18.0,4.799,35.5,11.1,resnet18,tiny-imagenet-200,128,4,1,11.6895,1.824,44.6714,0.0408,47.5497,N/A,0.336,N/A,3,2.12175,1.825621,N/A,21.377203,17.963,110.037492,3,2.048537,N/A,N/A,26.172452,14.672,0.0,0.0,113.970129,0.110037,0.11397
2025-11-12T07:11:26Z,Mac.lan,mps,N/A,arm,2.7.0,Darwin,25.0.0,3.12.6,18.0,6.562,36.3,17.4,resnet18,tiny-imagenet-200,128,8,1,11.6895,1.824,44.6714,0.0408,643.1753,N/A,0.179,N/A,782,0.688617,0.061321,N/A,578.521243,173.02,339.04479,79,0.311741,N/A,N/A,64.654069,156.402,8.68,25.82,748.929192,0.339045,0.748929
