timestamp,host,device_type,gpu_name,cpu_name,torch_version,os,kernel,python_version,ram_total_gb,ram_available_gb,disk_usage_pct,cpu_util,arch,dataset_root,batch_size,workers,epochs,params_m,flops_g_per_image,model_size_mb,arithmetic_intensity,total_time_s,peak_gpu_mem_mb,process_rss_gb,gpu_util,train_batches,train_batch_time_avg_s,train_data_time_avg_s,train_batch_time_std_s,train_epoch_time_s,train_throughput_img_s,train_achieved_gflops_s,val_batches,val_batch_time_avg_s,val_data_time_avg_s,val_batch_time_std_s,val_epoch_time_s,val_throughput_img_s,val_acc1,val_acc5,val_achieved_gflops_s,achieved_tflops_train,achieved_tflops_val
2025-11-12T23:52:01Z,Mac.lan,mps,N/A,arm,2.9.1,Darwin,25.0.0,3.12.6,18.0,2.062,28.7,22,resnet50,data/tiny-imagenet-200,128,4,1,25.557,4.1337,97.8021,0.0423,195.9582,N/A,0.138,N/A,50,2.128472,0.18606,N/A,2192.1,94,248.588422,50,0.988194,N/A,N/A,109.5,40,0.797,4.281,535.435137,0.125,0.122
2025-11-13T23:37:42Z,cpu-bench,cpu,N/A,x86_64,2.9.1+cu128,Linux,6.1.0-40-cloud-amd64,3.11.2,15.627,10.118,45.2,0,resnet50,data/tiny-imagenet-200,128,4,1,25.557,4.1337,97.8021,0.0423,2442.8383,N/A,3.637,N/A,50,37.990471,0.03748,N/A,1899.619234,3.369,13.927535,50,10.861844,N/A,N/A,543.219078,11.782,0.688,2.828,48.713056,0.013928,0.048713
2025-11-15T03:30:21Z,gpu-bench,cuda,Tesla T4,x86_64,2.8.0+cu126,Linux,6.6.105+,3.12.12,12.671,9.034,34.8,0,resnet50,data/tiny-imagenet-200,128,4,1,25.557,4.1337,97.8064,0.0423,85.4933,11345.17,2.513,3,50,1.299187,0.109855,N/A,65.00917,98.448,407.265064,50,0.407893,N/A,N/A,20.484108,312.437,0,2,1297.188391,0.407265,1.297188
