timestamp,host,device_type,gpu_name,cpu_name,torch_version,os,kernel,python_version,ram_total_gb,ram_available_gb,disk_usage_pct,cpu_util,arch,dataset_root,batch_size,workers,epochs,params_m,flops_g_per_image,model_size_mb,arithmetic_intensity,total_time_s,peak_gpu_mem_mb,process_rss_gb,gpu_util,train_batches,train_batch_time_avg_s,train_data_time_avg_s,train_batch_time_std_s,train_epoch_time_s,train_throughput_img_s,train_achieved_gflops_s,val_batches,val_batch_time_avg_s,val_data_time_avg_s,val_batch_time_std_s,val_epoch_time_s,val_throughput_img_s,val_acc1,val_acc5,val_achieved_gflops_s,achieved_tflops_train,achieved_tflops_val
2025-11-12T20:58:40Z,10-17-48-245.dynapool.wireless.nyu.edu,mps,N/A,arm,2.7.0,Darwin,25.0.0,3.12.6,18,8.201,22.8,15.5,squeezenet1_1,tiny-imagenet-200,128,8,1,1.2355,0.3493,4.7369,0.0737,298.9702,N/A,0.284,N/A,782,0.25871,0.026696,N/A,242.324958,413.065,172.820562,79,0.210358,N/A,N/A,56.645234,178.515,0.5,2.5,212.54424,0.172821,0.212544
2025-11-13T23:44:05Z,cpu-bench,cpu,N/A,x86_64,2.9.1+cu128,Linux,6.1.0-40-cloud-amd64,3.11.2,15.627,12.851,44.4,0,squeezenet1_1,data/tiny-imagenet-200,128,4,1,1.2355,0.3493,4.7369,0.0737,369.2266,N/A,1.174,N/A,50,5.261792,0.036207,N/A,263.172718,24.319,8.497182,50,2.11918,N/A,N/A,106.053891,60.347,0.781,3.906,21.097967,0.008497,0.021098
2025-11-15T03:30:43Z,gpu-bench,cuda,Tesla T4,x86_64,2.8.0+cu126,Linux,6.6.105+,3.12.12,12.671,9.803,34.6,10.5,squeezenet1_1,data/tiny-imagenet-200,64,4,1,1.2355,0.3493,4.7375,0.0737,17.0809,1503.26,1.733,0,50,0.179593,0.074522,N/A,9.233396,346.568,124.476909,50,0.150792,N/A,N/A,7.847491,407.774,1.562,4.688,148.251871,0.124477,0.148252
